Code,Name,Region
IRQ,Iraq,MAF
ISR,Israel,MAF
JOR,Jordan,MAF
KEN,Kenya,MAF
KWT,Kuwait,MAF
LBN,Lebanon,MAF
LSO,Lesotho,MAF
LBR,Liberia,MAF
LBY,Libya,MAF
MDG,Madagascar,MAF
MWI,Malawi,MAF
MLI,Mali,MAF
MRT,Mauritania,MAF
MUS,Mauritius,MAF
MYT,Mayotte,MAF
MAR,Morocco,MAF
MOZ,Mozambique,MAF
NAM,Namibia,MAF
NER,Niger,MAF
NGA,Nigeria,MAF
OMN,Oman,MAF
PSE,Palestine,MAF
QAT,Qatar,MAF
COG,Republic of the Congo,MAF
RWA,Rwanda,MAF
REU,Réunion,MAF
SAU,Saudi Arabia,MAF
SEN,Senegal,MAF
SYC,Seychelles,MAF
SLE,Sierra Leone,MAF
SOM,Somalia,MAF
ZAF,South Africa,MAF
SSD,South Sudan,MAF
SHN,St. Helena,MAF
SDN,Sudan,MAF
SYR,Syria,MAF
STP,São Tomé & Príncipe,MAF
TZA,Tanzania,MAF
TGO,Togo,MAF
TUN,Tunisia,MAF
UGA,Uganda,MAF
ARE,United Arab Emirates,MAF
ESH,Western Sahara,MAF
YEM,Yemen,MAF
ZMB,Zambia,MAF
ZWE,Zimbabwe,MAF
AND,Andorra,OECD1990
AUS,Australia,OECD1990
AUT,Austria,OECD1990
BEL,Belgium,OECD1990
CAN,Canada,OECD1990
DNK,Denmark,OECD1990
FRO,Faroe Islands,OECD1990
FIN,Finland,OECD1990
FRA,France,OECD1990
DEU,Germany,OECD1990
GIB,Gibraltar,OECD1990
GRC,Greece,OECD1990
GRL,Greenland,OECD1990
GUM,Guam,OECD1990
GGY,Guernsey,OECD1990
ISL,Iceland,OECD1990
IRL,Ireland,OECD1990
IMN,Isle of Man,OECD1990
ITA,Italy,OECD1990
JPN,Japan,OECD1990
JEY,Jersey,OECD1990
LIE,Liechtenstein,OECD1990
LUX,Luxembourg,OECD1990
MCO,Monaco,OECD1990
NLD,Netherlands,OECD1990
NZL,New Zealand,OECD1990
NOR,Norway,OECD1990
PRT,Portugal,OECD1990
SMR,San Marino,OECD1990
ESP,Spain,OECD1990
SPM,St. Pierre & Miquelon,OECD1990
SJM,Svalbard & Jan Mayen,OECD1990
SWE,Sweden,OECD1990
CHE,Switzerland,OECD1990
TUR,Turkey,OECD1990
USA,USA,OECD1990
GBR,United Kingdom,OECD1990
VAT,Vatican City,OECD1990
ALA,Åland Islands,OECD1990
